id_bruvoll_2023;id_source;house_size;site_name;region;arch_culture;data_source;site_name_ill;neighbourhood_logic;mean_orien;site_name_ill_short;Settlement
625;5;59,9;aldenhoven_3;rheinland;lbk;schiesberg_2007;Aldenhoven 3;FALSE;;Aldenhoven 3;Aldenhoven 3
38;38;79,49416769;cierne_klacany_mlynske_diely;zitava_valley;lbk;muller_scheessel_et_al_2020;Čierne Kľačany 'Mlynské diely';FALSE;24,84810213;Čierne;Cierne
39;39;122,9632864;cierne_klacany_mlynske_diely;zitava_valley;lbk;muller_scheessel_et_al_2020;Čierne Kľačany 'Mlynské diely';FALSE;28,67092322;Čierne;Cierne
40;40;215,5396822;cierne_klacany_mlynske_diely;zitava_valley;lbk;muller_scheessel_et_al_2020;Čierne Kľačany 'Mlynské diely';FALSE;29,36206807;Čierne;Cierne
41;41;103,8648514;cierne_klacany_mlynske_diely;zitava_valley;lbk;muller_scheessel_et_al_2020;Čierne Kľačany 'Mlynské diely';FALSE;25,88334927;Čierne;Cierne
42;42;108,2348744;cierne_klacany_mlynske_diely;zitava_valley;lbk;muller_scheessel_et_al_2020;Čierne Kľačany 'Mlynské diely';FALSE;20,58050638;Čierne;Cierne
43;43;128,9230278;cierne_klacany_mlynske_diely;zitava_valley;lbk;muller_scheessel_et_al_2020;Čierne Kľačany 'Mlynské diely';FALSE;25,60036161;Čierne;Cierne
44;44;72,8989666;cierne_klacany_mlynske_diely;zitava_valley;lbk;muller_scheessel_et_al_2020;Čierne Kľačany 'Mlynské diely';FALSE;17,24977937;Čierne;Cierne
45;45;83,16908062;cierne_klacany_mlynske_diely;zitava_valley;lbk;muller_scheessel_et_al_2020;Čierne Kľačany 'Mlynské diely';FALSE;14,64882886;Čierne;Cierne
46;46;111,4725922;cierne_klacany_mlynske_diely;zitava_valley;lbk;muller_scheessel_et_al_2020;Čierne Kľačany 'Mlynské diely';FALSE;28,82654696;Čierne;Cierne
47;47;192,0998751;cierne_klacany_mlynske_diely;zitava_valley;lbk;muller_scheessel_et_al_2020;Čierne Kľačany 'Mlynské diely';FALSE;16,65797042;Čierne;Cierne
48;48;111,1940547;cierne_klacany_mlynske_diely;zitava_valley;lbk;muller_scheessel_et_al_2020;Čierne Kľačany 'Mlynské diely';FALSE;23,5652539;Čierne;Cierne
49;49;253,9333424;cierne_klacany_mlynske_diely;zitava_valley;lbk;muller_scheessel_et_al_2020;Čierne Kľačany 'Mlynské diely';FALSE;30,79662285;Čierne;Cierne
50;50;167,6302929;cierne_klacany_mlynske_diely;zitava_valley;lbk;muller_scheessel_et_al_2020;Čierne Kľačany 'Mlynské diely';FALSE;14,70759408;Čierne;Cierne
51;51;169,6471356;cierne_klacany_mlynske_diely;zitava_valley;lbk;muller_scheessel_et_al_2020;Čierne Kľačany 'Mlynské diely';FALSE;19,20886842;Čierne;Cierne
52;52;127,2232814;cierne_klacany_mlynske_diely;zitava_valley;lbk;muller_scheessel_et_al_2020;Čierne Kľačany 'Mlynské diely';FALSE;25,53900112;Čierne;Cierne
53;53;102,1867851;cierne_klacany_mlynske_diely;zitava_valley;lbk;muller_scheessel_et_al_2020;Čierne Kľačany 'Mlynské diely';FALSE;24,1561722;Čierne;Cierne
54;54;79,46428347;cierne_klacany_mlynske_diely;zitava_valley;lbk;muller_scheessel_et_al_2020;Čierne Kľačany 'Mlynské diely';FALSE;19,11684854;Čierne;Cierne
55;55;161,7585875;cierne_klacany_mlynske_diely;zitava_valley;lbk;muller_scheessel_et_al_2020;Čierne Kľačany 'Mlynské diely';FALSE;19,38146844;Čierne;Cierne
56;56;179,3997084;cierne_klacany_mlynske_diely;zitava_valley;lbk;muller_scheessel_et_al_2020;Čierne Kľačany 'Mlynské diely';FALSE;22,83623449;Čierne;Cierne
57;57;50,24939985;cierne_klacany_mlynske_diely;zitava_valley;lbk;muller_scheessel_et_al_2020;Čierne Kľačany 'Mlynské diely';FALSE;20,64935736;Čierne;Cierne
58;58;151,9899548;cierne_klacany_mlynske_diely;zitava_valley;lbk;muller_scheessel_et_al_2020;Čierne Kľačany 'Mlynské diely';FALSE;26,77480427;Čierne;Cierne
59;59;64,1472461;cierne_klacany_mlynske_diely;zitava_valley;lbk;muller_scheessel_et_al_2020;Čierne Kľačany 'Mlynské diely';FALSE;19,25506603;Čierne;Cierne
60;60;70,22076422;cierne_klacany_mlynske_diely;zitava_valley;lbk;muller_scheessel_et_al_2020;Čierne Kľačany 'Mlynské diely';FALSE;33,13423279;Čierne;Cierne
61;61;83,80567678;cierne_klacany_mlynske_diely;zitava_valley;lbk;muller_scheessel_et_al_2020;Čierne Kľačany 'Mlynské diely';FALSE;34,08249736;Čierne;Cierne
62;62;96,54993419;cierne_klacany_mlynske_diely;zitava_valley;lbk;muller_scheessel_et_al_2020;Čierne Kľačany 'Mlynské diely';FALSE;22,13801492;Čierne;Cierne
63;63;74,16036846;cierne_klacany_mlynske_diely;zitava_valley;lbk;muller_scheessel_et_al_2020;Čierne Kľačany 'Mlynské diely';FALSE;20,84783073;Čierne;Cierne
64;64;56,44893161;cierne_klacany_mlynske_diely;zitava_valley;lbk;muller_scheessel_et_al_2020;Čierne Kľačany 'Mlynské diely';FALSE;30,4080635;Čierne;Cierne
65;65;92,04023077;cierne_klacany_mlynske_diely;zitava_valley;lbk;muller_scheessel_et_al_2020;Čierne Kľačany 'Mlynské diely';FALSE;23,65872682;Čierne;Cierne
66;66;50,92269748;cierne_klacany_mlynske_diely;zitava_valley;lbk;muller_scheessel_et_al_2020;Čierne Kľačany 'Mlynské diely';FALSE;29,09444626;Čierne;Cierne
67;67;168,2536742;cierne_klacany_mlynske_diely;zitava_valley;lbk;muller_scheessel_et_al_2020;Čierne Kľačany 'Mlynské diely';FALSE;18,29944964;Čierne;Cierne
