id;layer;house_size;quarter;Settlement;site_name_ill;culture
1;2012_burnt_structures;54,081 ;N;Nebelivka;Nebelivka;Trypillia
2;2012_burnt_structures;61,163 ;N;Nebelivka;Nebelivka;Trypillia
3;2012_burnt_structures;40,857 ;L;Nebelivka;Nebelivka;Trypillia
4;2012_burnt_structures;89,135 ;L;Nebelivka;Nebelivka;Trypillia
5;2012_burnt_structures;66,354 ;L;Nebelivka;Nebelivka;Trypillia
6;2012_burnt_structures;86,974 ;L;Nebelivka;Nebelivka;Trypillia
7;2012_burnt_structures;32,303 ;K;Nebelivka;Nebelivka;Trypillia
8;2012_burnt_structures;79,744 ;N;Nebelivka;Nebelivka;Trypillia
9;2012_burnt_structures;68,718 ;N;Nebelivka;Nebelivka;Trypillia
10;2012_burnt_structures;60,442 ;N;Nebelivka;Nebelivka;Trypillia
11;2012_burnt_structures;68,858 ;A;Nebelivka;Nebelivka;Trypillia
12;2012_burnt_structures;60,859 ;B;Nebelivka;Nebelivka;Trypillia
13;2012_burnt_structures;85,825 ;B;Nebelivka;Nebelivka;Trypillia
14;2012_burnt_structures;60,394 ;B;Nebelivka;Nebelivka;Trypillia
15;2012_burnt_structures;30,129 ;N;Nebelivka;Nebelivka;Trypillia
19;2012_burnt_structures;71,107 ;A;Nebelivka;Nebelivka;Trypillia
20;2012_burnt_structures;38,304 ;B;Nebelivka;Nebelivka;Trypillia
21;2012_burnt_structures;21,001 ;B;Nebelivka;Nebelivka;Trypillia
22;2012_burnt_structures;63,358 ;B;Nebelivka;Nebelivka;Trypillia
23;2012_burnt_structures;47,551 ;B;Nebelivka;Nebelivka;Trypillia
24;2012_burnt_structures;57,331 ;A;Nebelivka;Nebelivka;Trypillia
25;2012_burnt_structures;80,681 ;A;Nebelivka;Nebelivka;Trypillia
26;2012_burnt_structures;84,433 ;A;Nebelivka;Nebelivka;Trypillia
27;2012_burnt_structures;65,455 ;B;Nebelivka;Nebelivka;Trypillia
28;2012_burnt_structures;63,231 ;B;Nebelivka;Nebelivka;Trypillia
29;2012_burnt_structures;74,842 ;;Nebelivka;Nebelivka;Trypillia
30;2012_burnt_structures;47,160 ;A;Nebelivka;Nebelivka;Trypillia
31;2012_burnt_structures;63,042 ;A;Nebelivka;Nebelivka;Trypillia
33;2012_burnt_structures;34,996 ;A;Nebelivka;Nebelivka;Trypillia
34;2012_burnt_structures;92,425 ;A;Nebelivka;Nebelivka;Trypillia
35;2012_burnt_structures;28,866 ;A;Nebelivka;Nebelivka;Trypillia
36;2012_burnt_structures;37,827 ;A;Nebelivka;Nebelivka;Trypillia
37;2012_burnt_structures;48,701 ;A;Nebelivka;Nebelivka;Trypillia
38;2012_burnt_structures;49,774 ;A;Nebelivka;Nebelivka;Trypillia
39;2012_burnt_structures;45,908 ;A;Nebelivka;Nebelivka;Trypillia
40;2012_burnt_structures;63,536 ;A;Nebelivka;Nebelivka;Trypillia
41;2012_burnt_structures;28,495 ;A;Nebelivka;Nebelivka;Trypillia
42;2012_burnt_structures;68,990 ;A;Nebelivka;Nebelivka;Trypillia
43;2012_burnt_structures;25,028 ;A;Nebelivka;Nebelivka;Trypillia
44;2012_burnt_structures;75,124 ;A;Nebelivka;Nebelivka;Trypillia
45;2012_burnt_structures;88,615 ;A;Nebelivka;Nebelivka;Trypillia
46;2012_burnt_structures;88,304 ;A;Nebelivka;Nebelivka;Trypillia
47;2012_burnt_structures;98,357 ;A;Nebelivka;Nebelivka;Trypillia
48;2012_burnt_structures;50,506 ;A;Nebelivka;Nebelivka;Trypillia
49;2012_burnt_structures;138,580 ;A;Nebelivka;Nebelivka;Trypillia
50;2012_burnt_structures;92,448 ;A;Nebelivka;Nebelivka;Trypillia
59;2012_burnt_structures;72,706 ;B;Nebelivka;Nebelivka;Trypillia
60;2012_burnt_structures;87,531 ;B;Nebelivka;Nebelivka;Trypillia
61;2012_burnt_structures;134,790 ;B;Nebelivka;Nebelivka;Trypillia
62;2012_burnt_structures;84,160 ;B;Nebelivka;Nebelivka;Trypillia
63;2012_burnt_structures;64,732 ;B;Nebelivka;Nebelivka;Trypillia
64;2012_burnt_structures;56,370 ;B;Nebelivka;Nebelivka;Trypillia
65;2012_burnt_structures;79,202 ;B;Nebelivka;Nebelivka;Trypillia
66;2012_burnt_structures;47,168 ;B;Nebelivka;Nebelivka;Trypillia
67;2012_burnt_structures;74,304 ;B;Nebelivka;Nebelivka;Trypillia
68;2012_burnt_structures;60,330 ;B;Nebelivka;Nebelivka;Trypillia
