"";"Settlement";"Model";"Par1";"Par2";"Tail";"T_Par1";"xmin";"N";"N_tail";"Tail_P";"Gini";"Culture"
"1";"Úľany";"norm";62,349;12,542;"exp";0,109;63,6;34;17;0,5;0,113;"Linear Pottery"
"2";"Talne 3";"ln";3,941;0,226;"exp";0,077;45,7;19;14;0,74;0,126;"Trypillia"
"3";"Vlkas";"ln";4,534;0,387;"exp";0,025;81,2;61;40;0,66;0,221;"Linear Pottery"
"4";"Čifare";"ln";4,535;0,398;"exp";0,024;70,2;41;34;0,83;0,217;"Linear Pottery"
"5";"Telince";"ln";4,452;0,417;"exp";0,024;59,3;13;12;0,92;0,228;"Linear Pottery"
"6";"Maňa";"ln";4,597;0,381;"exp";0,021;65,8;29;27;0,93;0,224;"Linear Pottery"
"7";"Čierne";"ln";4,703;0,376;"exp";0,021;89,2;49;36;0,73;0,211;"Linear Pottery"
"8";"Nevidzany";"ln";4,659;0,434;"exp";0,02;86;22;17;0,77;0,24;"Linear Pottery"
"9";"Moshuriv";"ln";4,211;0,395;"pl";6,306;85,3;84;29;0,35;0,219;"Trypillia"
"10";"Maidanetske";"ln";4,112;0,443;"pl";5,508;100;2243;301;0,13;0,249;"Trypillia"
"11";"Vráble 'VL'";"ln";4,198;0,389;"pl";5,235;83,6;313;91;0,29;0,221;"Linear Pottery"
"12";"Horný";"ln";4,423;0,445;"pl";4,916;92,3;11;6;0,55;0,253;"Linear Pottery"
"13";"Nebelivka";"ln";4,045;0,432;"pl";4,764;62,6;1435;629;0,44;0,239;"Trypillia"
